Unnamed: 0,注册,注册.1
0.0,登录,登录
1.0,首页,首页
2.0,热门推荐,热门推荐
3.0,商品评论,商品评论
4.0,联系我们,联系我们
5.0,未登录,未登录
6.0,有缘婚姻,有缘婚姻
7.0,大连甘井子区 xxx 路 xxx 号 xxx 婚恋有限公司,大连甘井子区 xxx 路 xxx 号 xxx 婚恋有限公司
8.0,导航,导航
9.0,婚纱,婚纱
10.0,摄影,摄影
11.0,美妆,美妆
12.0,策划,策划
13.0,投诉,投诉
14.0,建议,建议
15.0,质量监督,质量监督
16.0,合作,合作
17.0,关于,关于
18.0,公司简介,公司简介
19.0,公司发展,公司发展
20.0,公司公告,公司公告
21.0,联系我们,联系我们
22.0,大连甘井子区 xxx 路 xxx 号,大连甘井子区 xxx 路 xxx 号
23.0,咨询邮箱,咨询邮箱
24.0,婚恋商城,婚恋商城
25.0,帮助,帮助
26.0,礼服,礼服
,,
,欢迎注册,欢迎注册
,用户名,用户名
,邮箱地址,邮箱地址
,密码,密码
,重复密码,重复密码
,真实姓名,真实姓名
,年龄,年龄
,xx 婚恋网用户注册协议,xx 婚恋网用户注册协议
,快捷登录,快捷登录
,欢迎登录,欢迎登录
,账户密码,账户密码
,忘记密码?,忘记密码?
,确认,确认
,,
,价格筛选,价格筛选
,价格区间,价格区间
,品牌分类,品牌分类
,推荐商品,推荐商品
,标签分类,标签分类
,商品详情,商品详情
,市场价,市场价
,优惠价,优惠价
,VIP价,VIP价
,添加到购物车,添加到购物车
,品牌,品牌
,关键字,关键字
,相关推荐,相关推荐
,商品描述,商品描述
,商品参数,商品参数
,评论列表,评论列表
,添加评论,添加评论
,商品积分,商品积分
,上架时间,上架时间
,销售量,销售量
,商品剩余,商品剩余
,会员价,会员价
,暂无评论,暂无评论
,未登录、登录后才能进行相关操作,未登录、登录后才能进行相关操作
,提交评论,提交评论
,图片展示,图片展示
,无符合条件的数据,无符合条件的数据
,分类共,分类共
,条数据,条数据
,本页显示,本页显示
,条数据,条数据
,默认排序,默认排序
,价格从高到低,价格从高到低
,销量从高到低,销量从高到低
,评论从高到低,评论从高到低
,上架时间从高到低,上架时间从高到低
,销量从高到低,销量从高到低
,新品,新品
,热门,热门
,当前页数,当前页数
,清空当前筛选条件,清空当前筛选条件
,价格,价格
,标签,标签
,账户激活失败,账户激活失败
,账户激活成功,账户激活成功
,账户已经激活了,账户已经激活了
,邮箱不能不为空,邮箱不能不为空
,密码不能为空,密码不能为空
,未进行人机验证,未进行人机验证
,第三方快捷登录,第三方快捷登录
,请绑定邮箱帐号,请绑定邮箱帐号
,请输入邮箱中的验证码,请输入邮箱中的验证码
,绑定成功！您以后可以直接使用第三方帐号登录,绑定成功！您以后可以直接使用第三方帐号登录
,绑定失败,绑定失败
,第三方登录故障，可联系管理员,第三方登录故障，可联系管理员
,人机验证失败,人机验证失败
,用户名不能为空,用户名不能为空
,邮箱帐号不能为空,邮箱帐号不能为空
,密码不能为空,密码不能为空
,密码不一致,密码不一致
,未进行人机验证,未进行人机验证
,注册成功、请前往注册邮箱进行账户激活,注册成功、请前往注册邮箱进行账户激活
,注册失败,注册失败
,订单,订单
,订单列表,订单列表
,订单ID,订单ID
,订单总价,订单总价
,支付状态,支付状态
,支付方式,支付方式
,订单商品,订单商品
,交易号,交易号
,完成,完成
,未完成,未完成
,支付宝,支付宝
,微信,微信
,其他,其他
,商品列表,商品列表
,添加收货地址,添加收货地址
,我喜欢的商品,我喜欢的商品
,添加收货地址,添加收货地址
,省份,省份
,城市,城市
,邮编,邮编
,电话,电话
,固定电话,固定电话
,联系人,联系人
,详细地址,详细地址
,添加购物车成功,添加购物车成功
,添加购物车失败,添加购物车失败
,商品,商品
,商品名称,商品名称
,价格,价格
,剩余库存,剩余库存
,加入购物车,加入购物车
,添加到购物车,添加到购物车
,点击可修改信息,点击可修改信息
,性别格式不正确,性别格式不正确
,男,男
,女,女
,邮箱格式不正确,邮箱格式不正确
,个人中心,个人中心
,已购买的商品,已购买的商品
,我的购物车,我的购物车
,我喜欢的商品,我喜欢的商品
,我的收货地址,我的收货地址
,用户ID,用户ID
,用户名称,用户名称
,真实姓名,真实姓名
,用户性别,用户性别
,用户年龄,用户年龄
,用户邮箱,用户邮箱
,用户VIP等级,用户VIP等级
,用户积分,用户积分
,用户创建时间,用户创建时间
,用户最后登录时间,用户最后登录时间
,用户最后登录IP,用户最后登录IP
,购物车,购物车
,您确认要删除该商品吗？,您确认要删除该商品吗？
,取消,取消
,删除失败,删除失败
,啥也没选，咋买,啥也没选，咋买
,购物车,购物车
,数量,数量
,总价,总价
,删除,删除
,选择,选择
,商品数量,商品数量
,结算,结算
,支付方式,支付方式
,配送地址,配送地址
,确认订单,确认订单
,公司地址,公司地址
,退出,退出
,语言,语言
,语言切换,语言切换
,简体中文,简体中文
,英语,英语
,日语,日语
